wmi	make	country	region	source	all_makes
1FD	FORD	UNITED STATES	NORTH AMERICA	VINGO	
1FE	FORD			NHTSA_REPO	
1FF	FORD	UNITED STATES		VINGO	
1FJ	FORD	UNITED STATES		VINGO	
1FL	FORD	UNITED STATES	NORTH AMERICA	VINGO	
1FM	FORD	UNITED STATES	NORTH AMERICA	VINGO	
1FR	FORD	UNITED STATES		VINGO	
1FT	FORD	UNITED STATES	NORTH AMERICA	VINGO	
1FU	FREIGHTLINER	UNITED STATES	NORTH AMERICA	VININFO	
1FV	FREIGHTLINER	UNITED STATES	NORTH AMERICA	VININFO	
1G0	OPEL	GERMANY	NORTH AMERICA	VINGO	
1G1	CHEVROLET	UNITED STATES	NORTH AMERICA	VININFO	
1G2	PONTIAC	UNITED STATES	NORTH AMERICA	VININFO	
1G3	OLDSMOBILE	UNITED STATES	NORTH AMERICA	VININFO	
1G4	BUICK	UNITED STATES	NORTH AMERICA	VININFO	
1G5	OPEL	UNITED STATES	NORTH AMERICA	VINGO	
1G6	CADILLAC	GERMANY	NORTH AMERICA	VININFO	
1G7	OPEL	UNITED STATES	NORTH AMERICA	VINGO	
1G8	SATURN	UNITED STATES	NORTH AMERICA	VININFO	
1G9	GOOGLE	UNITED STATES	NORTH AMERICA	VININFO	
1GA	CHEVROLET	UNITED STATES	NORTH AMERICA	VININFO	
1GB	CHEVROLET USA	UNITED STATES	NORTH AMERICA	VININFO	
1GC	CHEVROLET	UNITED STATES	NORTH AMERICA	VININFO	
1GD	GMC	UNITED STATES	NORTH AMERICA	VININFO	
1GE	CADILLAC	UNITED STATES	NORTH AMERICA	VININFO	
1GF	FLXIBLE BUS			WIKI	
1GG	ISUZU	UNITED STATES	NORTH AMERICA	VININFO	
1GH	OLDSMOBILE	UNITED STATES	NORTH AMERICA	VININFO	
1GJ	GMC	UNITED STATES	NORTH AMERICA	VININFO	
1GK	GMC	UNITED STATES	NORTH AMERICA	VININFO	
1GM	PONTIAC	UNITED STATES	NORTH AMERICA	VININFO	
1GN	CHEVROLET USA	UNITED STATES	NORTH AMERICA	VININFO	
1GR	GREAT DANE TRAILERS (TRUCK TRAILER)			WIKI	
1GT	GMC TRUCK	UNITED STATES	NORTH AMERICA	VININFO	
1GY	CADILLAC	UNITED STATES	NORTH AMERICA	VININFO	
1H1	FRUEHAUF	GERMANY	EUROPE	KBA	
